datetime,comparison,dataset_a,dataset_b,corr,corr_p
2024-09-27 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.22728446411837983,22.728446411837982
2024-09-28 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.34001807924878263,-34.001807924878264
2024-09-30 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.027104474284567463,-2.7104474284567464
2024-12-01 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.40817644649404544,-40.81764464940454
2024-12-02 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.358120330923552,-35.8120330923552
2024-12-03 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.4373878907839665,-43.73878907839665
2024-12-04 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.461282474398895,-46.128247439889506
2024-12-05 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.14277741927932766,-14.277741927932766
2024-12-06 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.41022122904519426,-41.02212290451943
2024-12-07 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.14181385411337927,-14.181385411337926
2024-12-08 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.17234158504983046,-17.234158504983046
2024-12-09 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.2441929912661377,-24.41929912661377
2024-12-10 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.27373669805186346,-27.373669805186346
2024-12-11 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.5194080695802032,-51.940806958020325
2024-12-12 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.23375872961263677,-23.375872961263678
2024-12-14 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.26070766987935945,-26.070766987935944
2024-12-15 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.3503653429572573,-35.03653429572573
2024-12-16 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.24196570526681985,-24.196570526681985
2024-12-17 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.06713557040562435,-6.713557040562435
2024-12-18 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.43034063816375595,-43.03406381637559
2024-12-19 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.3952787190701235,-39.527871907012354
2024-12-20 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.3829963411237981,-38.29963411237981
2024-12-21 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.4042404481039232,-40.42404481039232
2024-12-22 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.41160604112392724,-41.160604112392726
2024-12-23 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.6533917080345891,-65.33917080345891
2024-12-24 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.6693192786469957,-66.93192786469957
2024-12-25 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.5814720079840899,-58.147200798408996
2024-12-26 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.35107501413463804,-35.1075014134638
2024-12-27 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.5366357350014256,-53.66357350014256
2024-12-28 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.441939607010333,-44.193960701033305
2024-12-29 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.44925154578129395,-44.925154578129394
2024-12-30 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.5542899186830494,-55.42899186830495
2022-03-01 16:00:00,embrace x igs,mapas1_embrace_2022_2024_1600,mapas1_igs_2022_2024_1600,0.29727917518650687,29.72791751865069
2022-03-02 16:00:00,embrace x igs,mapas1_embrace_2022_2024_1600,mapas1_igs_2022_2024_1600,0.2807028441586831,28.070284415868308
2022-03-03 16:00:00,embrace x igs,mapas1_embrace_2022_2024_1600,mapas1_igs_2022_2024_1600,0.39157503572610125,39.157503572610125
2022-03-04 16:00:00,embrace x igs,mapas1_embrace_2022_2024_1600,mapas1_igs_2022_2024_1600,0.2963267545908397,29.63267545908397
2022-03-05 16:00:00,embrace x igs,mapas1_embrace_2022_2024_1600,mapas1_igs_2022_2024_1600,0.3995499316676515,39.95499316676515
2022-03-06 16:00:00,embrace x igs,mapas1_embrace_2022_2024_1600,mapas1_igs_2022_2024_1600,0.26895171511243343,26.895171511243344
2022-03-07 16:00:00,embrace x igs,mapas1_embrace_2022_2024_1600,mapas1_igs_2022_2024_1600,0.3853486274123636,38.53486274123636
2022-03-08 16:00:00,embrace x igs,mapas1_embrace_2022_2024_1600,mapas1_igs_2022_2024_1600,0.34196290272890284,34.19629027289028
2022-03-10 16:00:00,embrace x igs,mapas1_embrace_2022_2024_1600,mapas1_igs_2022_2024_1600,0.1486031856421896,14.86031856421896
